Indo-European Lexicon
Pokorny Master PIE Etyma
The table below lists Proto-Indo-European (PIE) etyma adapted from Julius Pokorny's book, Indogermanisches etymologisches Wörterbuch (Bern: Francke, 1959, 1989). Entry head-words are listed, with their page numbers and cross-references to other entries (following Pokorny) plus our own English glosses; for more information, the reader is referred to the book. Some misprints in Pokorny have been corrected, including repairs to diacritics and missing, incorrect, or extraneous homograph numbers.

In our table, cross-references under "See also" may include IE links to our own lists of more modern Indo-European reflexes -- words derived from the ancient Proto-Indo-European etyma. IE reflex lists are under active construction (see our IE Lexicon home page): they are subject to change at any time, and might possibly exhibit errors not yet corrected. See our Language Index page for links from reflexes (listed by IE language) to their PIE etyma.

Pokorny head-word entries with page numbers, cross-references, and English glosses
Page(s)	Pokorny entry	See also	English gloss
1036	2 streig-	IE    strenk-	taut, stiff, strict; to twist; rope
1036	3 (s)treig-, streid(h)-	IE    treig-	to hiss
1036-37	strenk-, streng-	IE    7. ter-	tight, cramped; cord, string
1037	(s)trep-, (s)treb-	IE    3. trep-	to cry, make wild noises
1037	stru-		gray-haired, old (man)
1037-38	su-, sū-	su̯e-lo-	good, well
1038-39	sū̆-s, suu̯-ós	IE    2. sūs-	pig, sow, swine
1039	sū-ro-, sou-ro-	IE    1. seu-	sour, bitter, salty; cheese
1039	1 sūs-		to whistle (of wind)
1039	2 sūs-	2. seu-	parent, creator, producer
1039-40	su̯ād-	IE   	sweet; to enjoy something
1040	su̯ard-		to laugh
1040-41	su̯ei-, su̯i-	IE   	to pipe, whistle, sibilate
1041-42	su̯ē̆(i)-	IE    su̯eng-	to bend, turn, swing, swivel
1042	1 su̯eid-	IE    su̯ēid-	to shine, glisten
1043	2 su̯eid-	IE   	to sweat, perspire; sweat
1043	su̯ēid-	1. su̯eid-	milk
1043	su̯ek-		to smell (good)
1043-44	su̯ekrū́-		husband's mother
1044	su̯ek̑s, sek̑s, ksek̑s, ksu̯ek̑s, u̯ek̑s : uk̑s	IE   	six
1044	s(u̯)eku̯o-s	IE   	sap, pitch, resin
1045	1 su̯el(-k)-	IE   	to eat, drink, swill, swallow
1045	2 su̯el-	IE    su̯elplo-s	to burn, smolder, swelter
1046	3 su̯el-, su̯ol-, sul-	IE   	sole of foot; ground
1046	4 su̯el-	2. sel-	beam, board
1046	su̯e-lo-, su̯elii̯o(n)-	se-	brother-in-law
1046	su̯elplo-s	IE    sā́u̯el-	sulphur
1046	su̯em-	IE   	to swim, move
1046-47	su̯en-	IE   	to sound, resound
1047	(s)u̯endh-	su̯ī-	to dwindle, disappear
1047-48	su̯eng-, su̯enk- : su̯eg-, su̯ek-	IE    u̯eib-	to bend, swing, swag
1048	su̯enk-, sunk-	IE   	heavy; pregnant
1048	su̯ento-, sunto-	IE   	sound, active, healthy, vigorous
1048-49	1 su̯ep-, sup-	IE   	to sleep
1049	2 su̯ep-, sup-, su̯eb-	IE   	to throw
1049	1 su̯er-, also ser-?	IE    2. su̯er-	to speak, swear, answer
1049-50	2 su̯er-	IE    1. su̯er-	to buzz, hiss
1050	3 su̯er-		stake
1050	4 su̯er-	IE   	to cut, prick, pierce
1050	5 su̯er-	1. u̯er-	heavy
1050-51	su̯erbh-, also su̯er-?	IE    srebh-	to turn, sweep, swerve
1051	su̯ergh-	IE   	to be ill; to sorrow, care for
1051	su̯esor-	IE   	sister
1052	su̯ī-	IE    2. u̯endh-	to fade, dwindle, become silent
1052	su̯omb(h)o-s	IE   	porous, spongy, swampy
1052	su̯ordo-s	IE   	black, swarthy; dark/dirty color
1053-54	tā-, tə-, tāi-, təi-, tī̆-; [tāu-], təu-, tū̆-	IE   	to thaw, melt, decay, dissipate
1054	tād-		to act purposefully
1054-55	tag-, or teg- : tog- : teg-	IE    2. tong-	to grip, seize, touch
1055	tāg-	IE    teg-	to tidy up
1055	tak-, takē(i)-	IE   	to be tacit, silent
1055	tāl-	IE   	to grow, turn green; plant, young sprout
1056	1 tap-		to dip
1056	2 tap-	IE   	to press down/together
1056	tata-, and similarly tē̆ta-	IE   	daddy (nursery word)
1056-57	taus-		calm, still, silent, peaceful
1057	teg-	1. (s)teg-	to cover
1057	tēg-, təg-		to burn
1057	tegu-	IE   	thick, fat
1057	tei-	(s)tei-	sharp, pointed; spike
1057	teig-	(s)teig-	to prick, stick; sharp
1057	teigu̯-	(s)teigu̯-	arm, shoulder; thigh, hip
1057	1 tek-	IE   	to bear, produce
1057-58	2 tek-	IE   	to reach, stretch out (hand) for
1058	3 tek-	IE   	to plait, weave
1058-59	tek̑þ-	IE   	to plait
1059-60	teku̯-	IE   	to flow, run
1060-61	1 tel-, telə-, tlē(i)-, tlā-	IE   	to bear, carry; weigh, lift up
1061	2 tel-, telə-, telu-	IE   	flat (board, ground)
1061-62	3 tel-		to be calm/still
1062	4 tel-	1. (s)tel-	to urinate, let flow
1062	teleg̑h-	telek-	to hit
1062	telek-	IE    teleg̑h-	to hit, push
1062	telp-		to have room; spacious
1062-63	1 tem-, tend-	IE    tend-	to cut
1063	2 tem-		stunned, confused
1063-64	tem(ə)-	IE   	dark
1064-65	temp-	IE    1. ten-	to span, stretch, extend
1065-66	1 ten-, tend-	IE    tengh-	to span, stretch, extend
1067	2 ten-	1. (s)ten-	to drone, groan, thunder, etc.
1067	tend-	1. tem-	to cut
1067	tenəgos, tenəgos		ground (under water)
1067	1 teng-	IE   	to dunk, soak, wet
1067	2 teng-	1. tong-	to feel, think
1067	tengh-	1. tenk-	to span, extend; pull, stretch
1067	1 tenk-	IE    2. tenk-	to span, extend; pull, stretch
1068	2 tenk-	IE    tens-	to clot, thicken, contract; tight, solid
1068-69	tens-	IE    temp-	to span, stretch, extend
1069	tenu-s, tenu-s	IE   	thin
1069-70	tep-	IE   	to be warm, tepid
1070	1 ter-	trem-	to quiver, tremble
1070-71	2 ter-, teru-	IE   	weak, feeble, tender, fragile
1071-74	3 ter-, terə-, and teri-, trēi-, trī-, also teru- : treu-	IE    6. ter-	to bore, drill, rub, thresh
1074-75	4 ter-, terə- : tr̥̄-, trā-, teru-	IE    5. ter-	to cross, get over, etc.
1075-76	5 ter-	IE    tet(e)r-	through, over, etc.
1076	6 ter-	3. ter-	(boring/gnawing insect)
1076	7 ter-, terə-, terbh-, terd-, terg-, terp-	treg-	stiff, rigid, solid, etc.
1076	terd-, tred-		to bore, drill through
1076-77	tergu̯-		to warn, threaten; fright, horror
1077	terk-, trek-, tork-, trok-	IE    trāgh-	to torque, turn
1077-78	terp-, trep-	IE   	to enjoy, satisfy oneself
1078-79	ters-	IE   	to toast, dry; thirst
1079	tet(e)r-	tor-	(onomatopoeic: to quack)
1079	1 teu-, teud-, teug-, teuk-, teup-	tu̯en-	to hit, push, thrust
1079-80	2 teu-	IE   	to notice, observe, listen to
1080-85	tēu-, təu-, teu̯ə-, tu̯ō-, tū̆-	IE    teuk-	to swell, intumesce
1085	teuk-	tēu-	germ, seed, sprout, offspring
1085	teup-	IE   	to crouch down, conceal oneself
1085	teus-		to empty
1085	teu̯ə-, tu̯ā-		to sift
1086	ti-ti-, (ti)til-		(onomatopoeic: chirping of small bird)
1086	ti̯egu̯-		to retreat, step back in fear; shy
1086-87	1 to-, tā-, ti̯o-	IE    so(s)	that, him (neut. or non-nom. demonstrative stem)
1088	2 to-	ati	(prefix)
1088	tolku̯-	IE   	to speak
1088	1 tong-, *teng-	IE    2. teng-	to think, feel
1088	2 tong-	tag-	to touch, grip, seize
1088	top-	IE   	to reach, stay; place
1088-89	tor-, toro-s	IE    trozdos-	loud, distinct, audible
1089	trāgh-, trō̆gh-, and trē̆gh-	IE    trek-	to drag, train, pull, move
1090	trē̆b-, trōb-, treb-, or trəb-, tr̥b-	IE   	building, dwelling
1090	treg-	1. (s)ter-	to make an effort, use all one's strength; battle, force; solid
1090-92	trei-	IE   	three, trio
1092	treig-	3. (s)treig-	to hiss
1092	treisti-, or trīsti-		sulky, moody, stubborn
1092	trek-	IE    dherāgh-	to pull, run
1092-93	trem-, trems-	IE    1. trep-	to shake, tremble; to stomp, trample
1093	1 trenk-	IE    2. trenk-	to throng, push, press together
1094	2 trenk-	1. trenk-	to wash, bathe, cleanse
1094	1 trep-	IE    tres-	to trip, tread, trample
1094	2 trep-	IE   	to bow the head, turn away in shame
1095	3 trep-, treb-	(s)trep-	to cry, make wild noises
1095	tres-, ters-, *teres-	IE    1. ter-	to quiver, tremble
1095	trē̆u-		to prosper
1095-96	tr-eu-d-	IE    trū̆des-	to thrust, push, press, squash
1096	trii̯əto-, trīto-		sea; wet, watery
1096	tris-		vine; stem, stalk
1096	trozdos- : tr̥zdos-	IE    4. ter-	thrush, blackbird
1096-97	trū̆des-	tr-eu-d-	scratchy; leprosy?
1097	truk̑-	tu̯erk̑-	to cut
1097	trus-		reed
1097	tu, tutu	IE   	(onomatopoeic: chirping of bird)
1097-98	tū̆	IE   	thou, you
1098	tū-lo-		slow, lazy, sluggish; boring
1098	1 tu̯ā̆k-, tuk-		to bind, close up, pull together
1098	2 tu̯ak-	IE   	to bathe
1099	tu̯akos		skin
1099	1 tu̯ē̆i-		to hack, hew, cut down, hit sharply
1099	2 tu̯ei-, extended tu̯ei-s-	IE   	to shake, excite, move back and forth, shimmer
1099	tu̯en-	1. (s)teu-	to hit, push, thrust
1099-1100	tu̯eng̑h-	IE   	to twinge, oppress, constrain, close in
1100-1	1 tu̯er- : tur-, and tu̯r̥-	IE   	to twirl, turn
1101	2 tu̯er- : tur-, tu̯erə-	IE   	to grab, hold
1102	tu̯erk̑-	IE    truk̑-	to cut
1102	tu̯ī̆bh-		hollow
1102	tu̯ō[u]- : tu̯əu- : tū-l-		pipe, tube
1103	1 u-		(onomatopoeic: owl's hoot, etc.)
1103	2 u-	5. u̯e-	ooh! (interjection of pain)
1103	ub-		to drag, press down
1103-4	ū̆d-	IE    ghe-	out, away, up(wards)
1104-5	udero-, u̯ēdero-	IE   	belly, uterus
1105	ul-	IE    albhi-	(onomatopoeic: to howl, ululate)
1105-6	upér, upéri	IE    upo	over, above
1106-7	upo, up, eup, (e)up-s-	IE    upér	under, (from) below, etc.
1108	1 u̯ā-, u̯ō-, u̯ə-	2. u̯en-	to hit, wound
1108	u̯en-	IE   	to hit, wound
1108-9	2 u̯ā-	IE   	(to pull) apart
1109	u̯āb-	IE    1. u̯ap-	to call, cry, weep, lament
1109	u̯adh-	IE   	pledge
1109	u̯ādh-, u̯ədh-	IE   	to go, wade, stride, march
1110	1 u̯ā̆g-	IE   	sheath, cover, hollow lid
1110	2 u̯ā̆g-	u̯ā̆gh-	to cry, shriek
1110	u̯ā̆gh-, suā̆gh-	IE    2. u̯ā̆g-	to cry, shriek, sough
1110-11	u̯ai	IE   	woe; wolf
1111	u̯ā̆i-, u̯ī-	IE   	weak, miserable
1111	u̯ā̆kā	IE   	cow
1111-12	u̯al-, u̯al-d(h)-	IE   	to prevail, be strong
1112	u̯ank̑-		beam
1112	1 u̯ap-	2. u̯ap-	to chatter
1112-13	2 u̯ap-, ū̆p-	IE    u̯āb-	to call, cry
1113	u̯āsto-s	1. eu-	to lack; empty
1113	1 u̯āt-, better u̯ōt-	IE   	wood, vatic, mentally animated
1113	2 u̯ā̆t-	IE    u̯əg-	to bend, curve
1113-14	u̯azdh-, better u̯ozdh-		long, wide
1114	1 u̯ē̆-, u̯ei-	IE    3. ne-	we two (dual), we (plural)
1114	2 u̯e-, u̯edh-	1. u̯ebh-	to weave
1114	3 u̯ē-, u̯ə-	IE    u̯ēp-	to blow
1114	4 u̯e-, u̯o-, u̯es-	3. au-	from, away, downward
1114	5 u̯e-, u̯o-	4. au-	other; that (one)
1114	1 u̯ebh-	IE    5. au̯-	to plait, weave, waver, move back and forth
1114-15	2 u̯ebh-	u̯obhsā	to roam, swarm, wander
1115	u̯ed-	2. u̯edh-	to lead
1115	1 u̯edh-	IE   	to hit, push
1115-16	2 u̯edh-, before nasals u̯ed-	IE    u̯ed-	to lead
1116-17	3 u̯edh-	1. u̯endh-	to tie, bind, attach
1117	u̯eg-	IE    u̯okso-	to bind, weave
1117-18	u̯eg̑-	IE    au̯eg-	fresh, strong
1118	u̯egu̯- : ū̆gu̯-, uku̯s-	IE   	damp, moist; to wet, sprinkle, irrigate; ox
1118-20	u̯eg̑h-	IE   	to move, drive, carry, convey
1120	u̯əg- : u̯āg-	1. u̯ei-	bent, curved
1120-22	1 u̯ei-, u̯ei̯ə- : u̯ī̆-	IE    1. u̯eid-	to bend, turn, wind
1123	2 u̯ei-, u̯ei̯ə- : u̯ī̆-	IE    3. u̯eis-	to wizen, wither
1123-24	3 u̯ei-, u̯eiə- : u̯ī-	IE    u̯ī̆ro-s	to wish, pursue, go for, reach towards; strong, violent
1124	u̯eib-	u̯eip-	to sway, turn
1124	1 u̯eid-	4. u̯eik-	to bend, turn
1125-27	2 u̯(e)id-	IE   	to vide, see, wit, know
1127-28	u̯eidh-, u̯idh-	IE    1. u̯ī̆-	to divide, separate; widow
1128	1 u̯eik-	IE   	to choose, filter, sort out
1128-29	2 u̯eik-	IE   	force, energy (in battle, victory, etc.)
1129	3 u̯eik-	IE   	to happen, become equal, come together
1130-31	4 u̯eik-, u̯eig-, extended form of u̯ei-	IE    2. u̯eis-	to bend, curve; exchange, pass around
1131	u̯eik̑-, u̯ik̑-, u̯oik̑o-	IE   	house, village, settlement
1131-32	u̯eip-, u̯eib-	IE    3. seu-	to turn, whip, sway, vibrate
1133	1 u̯eis-	IE   	to grow, sprout
1133-34	2 u̯eis-	u̯ek-	to bend, turn
1134	3 u̯eis-	IE    2. u̯ei-	to flow (away); ooze, virus, poison
1134-35	u̯ek-, u̯e-n-k-	u̯ək-	to bend
1135	u̯ək- : *u̯āk-	IE    u̯e-n-g-	bent
1135	u̯ek̑-	IE   	to want, wish
1135-36	u̯eku̯-	IE   	to voice, speak, evoke
1136	u̯ek-ti-	IE   	whit, thing
1136-37	1 u̯el-	IE   	to see
1137-38	2 u̯el-, u̯lei-, u̯lē(i)-	IE    5. u̯el-	to will, want, wish, choose
1138	3 u̯el-	IE    7. u̯el-	to crowd, press, push
1139-40	4 u̯el-, u̯elə-	IE   	wool, hair; grass, wold, forest
1140	5 u̯el-, u̯elə-	2. u̯el-	to deceive
1140	6 u̯el-		warm
1140-44	7 u̯el-, u̯elə-, u̯lē-	IE    3. u̯el-	to turn, wind; round, voluble
1144-45	8 u̯el-	IE    1. u̯elk-	to steal; to wound, tear, avulse
1145	1 u̯elk-	selk-	to pull, drag
1145-46	2 u̯elk-, u̯elg-	IE   	wet, damp
1146	u̯em-, u̯emə-	IE   	to spit, spew, wamble, vomit
1146-47	1 u̯en-, u̯enə-	IE   	to love, venerate, strive/wish for
1147	2 u̯en-	1. u̯ā-	to hit, wound
1148	1 u̯endh-	IE    3. u̯edh-	to turn, wind, wend
1148	2 u̯endh-	(s)u̯endh-	to wane, disappear
1148	3 u̯endh-		hair, beard
1148-49	u̯e-n-g-	IE    u̯e-n-gh-	bent
1149	u̯e-n-gh-	IE    u̯e-n-k-	bent
1149	u̯e-n-k-	2. u̯ā̆t-	bent
1149	1 *u̯ep- : u̯ō̆p- : up-	ab-	water
1149	2 u̯ep-		to strew, throw out
1149-50	u̯ēp- : u̯əp-	10. au̯(e)-	to blow; to soar
1150-51	1 u̯er-, also su̯er-	IE    3. u̯er-	to bind, attach; strive
1151-52	2 u̯er-	IE   	highland, raised place; high, top
1152	3 u̯er-	IE    5. u̯er-	to bend, turn, wrap
1152	3a u̯er-, u̯r̥mi-s, u̯r̥mo-s	IE   	worm
1153	3b u̯er-, u̯er-b-, and u̯er-bh-	IE   	to bend, turn, warp
1153-54	3c u̯er-, u̯(e)r-ed-	IE   	to sway, bend down
1154	3d u̯er-, u̯er-g-	IE    3e. u̯er-	to turn, wrench
1154-55	3e u̯er-, u̯er-g̑h-	IE    3f. u̯er-	to turn, press, wring, strangle
1155	3f u̯er-, u̯er-k-	IE    u̯er-g-	to bend, turn, wind
1156	3g u̯er-, u̯er-p-, u̯r-ep-	IE   	to turn, wind
1156-58	3h u̯er-, u̯er-t-	IE   	to turn, wind, invert
1158-60	3i u̯er-, u̯r-ei-	IE   	to clench the teeth; wroth, confused
1160	4 u̯er-	IE   	to find, take
1160-62	5 u̯er-	IE    1. u̯erg̑-	to shut, close, cover; guard, warn, save
1162-63	6 u̯er-	IE    u̯rek-	to speak, talk formally
1163-64	7 u̯er-	IE   	to root, open, tear up
1164	8 u̯er-	IE   	to notice, observe, attend, be aware
1165	9 u̯er- : u̯eru-s	IE   	wide, broad
1165	10 u̯er-	9. au̯(e)-	to flow; wet; water, river, etc.
1165-66	11 u̯er-, u̯erə-	IE   	to show friendship; true, very, veracious, trustworthy
1166	12 u̯er-	IE   	to burn
1166	13 u̯er-	IE   	squirrel, weasel, etc.
1167	u̯(e)rād-, u̯erəd-, u̯rəd-	IE   	root, branch, twig
1167	u̯erdh-, u̯redh-	IE   	to grow; high
1168	1 u̯erg̑-, u̯reg̑-	IE    u̯ōro-	to (en)close, shut off; pen
1168-69	2 u̯erg̑-, u̯reg̑-	IE   	to do, work, be effective
1169	3 u̯erg̑-, u̯org̑-	IE   	to abound, be very strong; to swarm, swell
1169	u̯er-g-, u̯er-g̑h-, u̯er-k-	3d. u̯er-	to bend, turn
1169	u̯er-(e)nā	IE   	alder, poplar
1169-70	u̯ers-	IE   	to drag along the ground
1170	u̯eren-	IE   	lamb, ram, sheep
1170-71	1 u̯es-	IE    2. au-	to live, stay overnight
1171	2 u̯es-	IE    u̯ē̆su-	to feast
1171-72	3 u̯es-	IE   	to ooze, dampen; wet
1172	4 u̯es-		to stick, stab, pierce
1172-73	5 u̯es-	IE   	to dress, clothe, wear
1173	6 u̯ē̆s-	1. i̯u-	you (plural)
1173	7 u̯es-		to turn, wind, wrap
1173	8 u̯es-	IE   	to buy, sell, exchange
1173	u̯es-no-		price
1173	9 u̯es-	u̯es-r̥	to shine
1173-74	u̯esperos, u̯ekeros	IE   	vesper, evening
1174	u̯es-r̥	IE    au̯es-	spring
1174-75	u̯ē̆su-	IE    2. u̯es-	good
1175	u̯et-	IE   	year
1175-76	1 u̯ī̆-	IE    2. dhē-	apart, separate from, in two; both
1176	2 u̯ī̆-, u̯oi-		(onomatopoeic root)
1177	u̯idhu-	IE   	tree, wood
1177	u̯ī-k̑m̥t-ī	IE    dek̑m̥	twenty
1177	u̯ī̆ks-		mistletoe, tree with sticky(?) sap
1177	u̯ing̑-, and u̯eig̑-, u̯ig̑-?	ang̑h-	elm (tree)
1177-78	u̯ī̆ro-s	IE    3. u̯ei-	man, warrior
1178	u̯i̯eth-, u̯ith-		to shake
1178	u̯lek-, u̯l̥k-		to light, shine; fiery
1178-79	u̯l̥ku̯os	IE   	wolf, lobo
1179	u̯l̥p-, lup-	IE   	(carnivorous animal, esp. fox, wolf, etc.)
1179	u̯obhsā	IE    2. u̯ebh-	wasp
1179-80	u̯ogu̯hni-s, u̯ogu̯hnes-	IE   	plowshare
1180	u̯okso-	IE    u̯eg-	wax
1180	u̯ōro-	IE    5. su̯er-	madness; dizziness, weariness
1180	u̯ortoko-	IE   	quail
1180	1 u̯rā̆g̑h- : u̯rəg̑h-		spike, thorn
1181	2 u̯rāg̑h- : u̯rəg̑h-		to hit, push
1181	u̯reg-, and u̯erg-?	IE   	to drag, push, drive, thrust
1181-82	u̯rēg̑-, u̯rōg̑-, u̯rəg̑-	IE   	to break
1182	u̯rek-	6. u̯er-	to speak, talk formally
1182	u̯reik-, u̯ereik-		heather
1182	u̯ren-		to splash, sprinkle
1183	u̯reth- : u̯roth-, or u̯rath-		to support
1183	u̯rughi̯o-	IE    rughi̯o-	rye
